   203.119.111.139 4608    0.0                 (Brisbane, Queensland, AU, OC) anchor.apnic.net                                                                                    
   203.119.111.130 4608    0.765               (Brisbane, Queensland, AU, OC) vl-1705.nxcs1.hosted.au.apnic.net                                                                   
   203.119.104.25  4608    0.517                      (Brisbane, QLD, AU, OC) te-0-1-4.nxgw2.bne.apnic.net                                                                        
   138.44.129.153  7575    0.644               (Brisbane, Queensland, AU, OC) ae2-223-pe1.fvly.qld.aarnet.net.au                                                                  
   113.197.15.6    7575    12.026           (Sydney, New South Wales, AU, OC) et-0-3-0.pe1.mcqp.nsw.aarnet.net.au                                                                 
   113.197.15.5    7575    12.538              (New South Wales, NSW, AU, OC) et-5-1-0.pe1.brwy.nsw.aarnet.net.au                                                                 
╭─ 113.197.15.153  7575    12.684              (New South Wales, NSW, AU, OC) et-0-3-0.pe1.alxd.nsw.aarnet.net.au                                                                 
S (7575)  hawaiki ✘ || southern-cross-cable-network-sccn ✓ || southern-cross-next ✓
╰─ 202.158.194.162 7575    166.382                     (San Jose, CA, US, NA) xe-0-2-4.bdr1.a.sjc.aarnet.net.au                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   192.189.157.25  64289   174.189          (Los Angeles, California, US, NA)                                                                                                     
