   114.31.201.91   4826    0.0              (Sydney, New South Wales, AU, OC) 91.201.31.114.core.vocus.network                                                                    
   114.31.201.90   4826    0.764            (Sydney, New South Wales, AU, OC) 90.201.31.114.core.vocus.network                                                                    
╭─ 114.31.192.104  4826    148.756          (Sydney, New South Wales, AU, OC) be157.cor03.syd14.nsw.vocus.network                                                                 
S (4826)  
╰─ 114.31.199.43   4826    153.135                     (San Jose, CA, US, NA) be202.bdr03.sjc01.ca.us.vocus.network                                                               
   64.71.184.45    6939    153.914                     (San Jose, CA, US, NA) 10gigabitethernet5-13.core1.sjc1.he.net                                                             
   184.104.195.114 6939    149.566                   (Pleasanton, CA, US, NA) 100ge16-2.core1.pao1.he.net                                                                         
   184.104.193.26  6939    165.565                     (Portland, OR, US, NA) 100ge14-1.core1.pdx1.he.net                                                                         
   184.105.64.137  6939    168.544                      (Seattle, WA, US, NA) port-channel2.core2.sea1.he.net                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   141.193.21.100  46997   172.507              (Seattle, Washington, US, NA) us-sea-as46997.anchors.atlas.ripe.net                                                               
